Original,Converted,Simplified
Altbier,Altbier,Altbier
American Adjunct Lager,Adjunct Lager - American,Lager
American Amber / Red Ale,Ale Red - American,Ale Red
American Amber / Red Lager,Lager Red- American,Lager
American Barleywine,Barleywine - American,Barleywine
American Black Ale,Ale Black - American,Ale Dark
American Blonde Ale,Ale Blonde - American,Ale
American Brett,Brett - American,Brett
American Brown Ale,Ale Brown - American,Ale Dark
American Brut IPA,IPA Brut- American,IPA
American Cream Ale,Ale Cream - American,Ale
American Dark Wheat Ale,Ale Dark Wheat - American,Ale Dark
American Imperial IPA,IPA imperial - American,IPA
American Imperial Pilsner,Pilsner Imperial - American,Pilsner
American Imperial Porter,Porter Imperial - American,Porter
American Imperial Red Ale,Ale Imperial Red - American,Ale Red
American Imperial Stout,Stout Imperial - American,Stout
American IPA,IPA - American,IPA
American Lager,Lager - American,Lager
American Light Lager,Lager Light - American,Lager
American Malt Liquor,Malt Liquor - American,Malt Liquor
American Pale Ale (APA),Ale Pale - American,Ale Pale
American Pale Wheat Ale,Ale Pale Wheat - American,Wheat
American Porter,Porter - American,Porter
American Stout,Stout - American,Stout
American Strong Ale,Ale Strong - American,Ale Strong
American Wheatwine Ale,Ale Wheatwine Ale - American,Wheat
American Wild Ale,Ale Wild - American,Ale
Baltic Porter,Porter Baltic,Porter
Barleywine - American,Barleywine - American,Barleywine
Barleywine - English,Barleywine - English,Barleywine
Belgian Blonde Ale,Ale Blonde - Belgian,Ale
Belgian Dark Ale,Ale Dark - Belgian,Ale Dark
Belgian Dubbel,Dubbel - Belgian,Dubbel
Belgian Faro,Faro - Belgian,Lambic
Belgian Fruit Lambic,Lambic Fruit- Belgian,Lambic
Belgian Gueuze,Gueuze - Belgian,Lambic
Belgian IPA,IPA - Belgian,IPA
Belgian Lambic,Lambic - Belgian,Lambic
Belgian Pale Ale,Ale Pale - Belgian,Ale Pale
Belgian Quadrupel (Quad),Quadrupel - Belgian,Quadrupel
Belgian Saison,Saison - Belgian,Saison
Belgian Strong Dark Ale,Ale Strong Dark - Belgian,Ale Strong
Belgian Strong Pale Ale,Ale Strong Pale - Belgian,Ale Strong
Belgian Tripel,Tripel - Belgian,Tripel
Belgian Witbier,Witbier Wheat - Belgian,Wheat
Berliner Weisse,Weisse - Belgian,Wheat
Bière de Champagne / Bière Brut,Bière de Champagne / Bière Brut,Bière de Champagne / Bière Brut
Bitter - English,Bitter - English,Bitter
Bitter - English Extra Special / Strong Bitter (ESB),Bitter Strong - English,Bitter
Blonde Ale - American,Ale Blonde - American,Ale
Blonde Ale - Belgian,Ale Blonde - Belgian,Ale
Bock - Doppelbock,Doppelbock,Bock
Bock - Eisbock,Eisbock,Bock
Bock - Maibock,Maibock,Bock
Bock - Traditional,Bock,Bock
Bock - Weizenbock,Weizenbock,Bock
Bohemian Pilsener,Pilsener Bohemian,Pilsner
Braggot,Braggot,Braggot
Brett Beer,Brett,Brett
British Barleywine,Barleywine - English,Barleywine
Brown Ale - American,Ale Brown - American,Ale Dark
Brown Ale - Belgian Dark,Ale Brown - Belgian,Ale Dark
Brown Ale - English,Ale Brown - English,Ale Dark
California Common / Steam Beer,Steam Beer - American,Steam Beer
Chile Beer,Beer - Chilian,Lager
Cream Ale,Ale Cream - American,Ale
Dubbel,Dubbel - Belgian,Dubbel
English Bitter,Bitter - English,Bitter
English Brown Ale,Ale Brown - English,Ale Dark
English Dark Mild Ale,Ale Dark Mild - English,Ale Dark
English Extra Special / Strong Bitter (ESB),Bitter Strong - English,Bitter
English India Pale Ale (IPA),IPA - English,IPA
English Oatmeal Stout,Stout Oatmeal - English,Stout
English Old Ale,Ale Old - English,Ale Old
English Pale Ale,Ale Pale - English,Ale Pale
English Pale Mild Ale,Ale Pale Mild - English,Ale Pale
English Porter,Porter - English,Porter
English Stout,Stout - English,Stout
English Strong Ale,Ale Strong - English,Ale Strong
English Sweet / Milk Stout,Stout Milk - English,Stout
European Dark Lager,Lagger Dark - European,Lager
European Export / Dortmunder,Dortmunder - European,Dortmunder
European Pale Lager,Lager Pale - European,Lager
European Strong Lager,Lager Strong - European,Lager
Farmhouse Ale - Bière de Garde,Bière de Garde - Farmhouse Ale,Bière de Garde
Farmhouse Ale - Sahti,Sahti - Farmhouse Ale,Sahti
Farmhouse Ale - Saison,Saison - Farmhouse Ale,Saison
Finnish Sahti,Sahti - Finnish,Sahti
Flanders Oud Bruin,Old Bruin - Flanders,Ale Dark
Flanders Red Ale,Ale Red - Flanders,Ale Red
Foreign / Export Stout,Stout - Foreign,Stout
French Bière de Garde,Bière de Garde - French,Bière de Garde
Fruit and Field Beer,Fruit and Field Beer,Fruit and Field Beer
German Altbier,Altbier - German,Altbier
German Bock,Bock - German,Bock
German Doppelbock,Doppelbock - German,Bock
German Dunkelweizen,Dunkelweizen - German,Wheat
German Eisbock,Eisbock - German,Bock
German Hefeweizen,Hefeweizen - German,Wheat
German Helles,Lager Helles - German,Lager
German Kellerbier / Zwickelbier,Lager Kellerbier / Zwickelbier - German,Lager
German Kölsch,Klösch - German,Ale
German Kristalweizen,Kristalweizen - German,Wheat
German Maibock,Maibock - German,Bock
German Märzen / Oktoberfest,Lager Märzen / Oktoberfest - German,Lager
German Pilsner,Pilsner - German,Pilsner
German Rauchbier,Rauchbier - German,Smoked
German Roggenbier,Roggenbier - German,Rye
German Schwarzbier,Schwarzbier - German,Ale Dark
German Weizenbock,Weizenbock - German,Bock
Gruit / Ancient Herbed Ale,Ale Gruit / Ancient Herbed,Ale
Happoshu,Happoshu - Japanese,Happoshu
Herb and Spice Beer,Herb and Spice Beer,Herb and Spice Beer
IPA - American,IPA - American,IPA
IPA - Belgian,IPA - Belgian,IPA
IPA - Black / Cascadian Dark Ale,IPA - Black / Cascadian Dark Ale,IPA
IPA - Brut,IPA - Brut,IPA
IPA - English,IPA - English,IPA
IPA - Imperial,IPA - Imperial,IPA
IPA - New England,NEIPA,NEIPA
Irish Dry Stout,Stout Dry - Irish,Stout
Irish Red Ale,Ale Red - Irish,Ale Red
Japanese Happoshu,Happoshu - Japanese,Happoshu
Japanese Rice Lager,Lager Rice - Japanese,Rice
Kölsch,Kölsch,Kölsch
Kvass,Kvass,Kvass
Lager - Adjunct,Lager - Adjunct,Lager
Lager - American,Lager - American,Lager
Lager - American Amber / Red,Lager Red Amber - American,Lager
Lager - European / Dortmunder Export,Lager - European / Dortmunder Export,Lager
Lager - European Dark,Lager Dark - European,Lager
Lager - European Pale,Lager Pale - European,Lager
Lager - European Strong,Lager Strong - European,Lager
Lager - Helles,Lager Helles,Lager
Lager - India Pale Lager (IPL),Lager India Pale,Lager
Lager - Japanese Rice,Lager Rice - Japanese,Rice
Lager - Kellerbier / Zwickelbier,Lager Kellerbier / Zwickelbier - German,Lager
Lager - Light,Lager Light - American,Lager
Lager - Malt Liquor,Malt Liquor - American,Lager
Lager - Märzen / Oktoberfest,Lager Märzen / Oktoberfest - German,Lager
Lager - Munich Dunkel,Lager Munich Dunkel - German,Lager
Lager - Rauchbier,Lager Rauchbier - German,Lager
Lager - Schwarzbier,Lager Schwarzbier - German,Lager
Lager - Vienna,Lager - Vienna,Lager
Lambic - Faro,Faro - Belgian,Lambic
Lambic - Fruit,Lambic Fruit- Belgian,Lambic
Lambic - Gueuze,Gueuze - Belgian,Lambic
Lambic - Traditional,Lambic - Belgian,Lambic
Leipzig Gose,Gose - Leipzig,Gose
Low Alcohol Beer,Low Alcohol Beer,Low Alcohol Beer
Mild Ale - English Dark,Ale Dark Mild - English,Ale Dark
Mild Ale - English Pale,Ale Pale - English,Ale Pale
Munich Dunkel Lager,Lager Munich Dunkel - German,Lager
New England IPA,NEIPA,NEIPA
Old Ale,Ale Old - English,Ale Old
Pale Ale - American,Ale Pale - American,Ale Pale
Pale Ale - Belgian,Ale Pale - Belgian,Ale Pale
Pale Ale - English,Ale Pale - English,Ale Pale
Pilsner - Bohemian / Czech,Pilsener Bohemian - Czech,Pilsner
Pilsner - German,Pilsner - German,Pilsner
Pilsner - Imperial,Pilsner - Imperial,Pilsner
Porter - American,Porter - American,Porter
Porter - Baltic,Porter Baltic,Porter
Porter - English,Porter - English,Porter
Porter - Imperial,Porter Imperial,Porter
Porter - Robust,Porter Robust,Porter
Porter - Smoked,Porter Smoked,Porter
Pumpkin Beer,Pumpkin Beer,Pumpkin Beer
Quadrupel (Quad),Quadrupel - Belgian,Quadrupel
Red Ale - American Amber / Red,Ale Red - American,Ale Red
Red Ale - Imperial,Ale Red Imperial,Ale Red
Red Ale - Irish,Ale Red - Irish,Ale Red
Robust Porter,Porter Robust,Porter
Russian Imperial Stout,Stout Russian Imperial,Stout
Russian Kvass,Kvass - Russian,Kvass
Rye Beer,Rye Beer,Rye
Rye Beer - Roggenbier,Rye Beer - Roggenbier,Rye
Scotch Ale / Wee Heavy,Ale - Scotch,Ale
Scottish Ale,Ale - Scottish,Ale
Scottish Gruit / Ancient Herbed Ale,Ale Gruit - Scottish,Ale
Smoke Beer,Smoke Beer,Smoked
Smoke Porter,Porter Smoked,Smoked
Smoked Beer,Smoked,Smoked
Sour - Berliner Weisse,Sour Berliner Weisse - German,Sour
Sour - Flanders Oud Bruin,Sour Oud Bruin - Flanders,Sour
Sour - Flanders Red Ale,Sour Red Ale - Flanders,Sour
Sour - Gose,Sour Gose,Sour
Stout - American,Stout - American,Stout
Stout - American Imperial,Stout Imperial - American,Stout
Stout - English,Stout - English,Stout
Stout - Foreign / Export,Stout - Foreign / Export,Stout
Stout - Irish Dry,Stout Dry - Irish,Stout
Stout - Oatmeal,Stout Oatmeal - English,Stout
Stout - Russian Imperial,Stout Russian Imperial,Stout
Stout - Sweet / Milk,Stout Milk,Stout
Strong Ale - American,Ale Strong - American,Ale Strong
Strong Ale - Belgian Dark,Ale Strong Dark - Belgian,Ale Strong
Strong Ale - Belgian Pale,Ale Strong Pale - Belgian,Ale Strong
Strong Ale - English,Ale Strong - English,Ale Strong
Tripel,Tripel - Belgian,Tripel
Vienna Lager,Lager - Vienna,Lager
Wheat Beer - American Dark,Wheat Dark - American,Ale Dark
Wheat Beer - American Pale,Wheat Pale - American,Wheat
Wheat Beer - Dunkelweizen,Wheat Dunkelweizen,Wheat
Wheat Beer - Hefeweizen,Wheat Beer Hefeweizen,Wheat
Wheat Beer - Kristallweizen,Wheat Beer Kristallweizen,Wheat
Wheat Beer - Wheatwine,Wheat Beer Wheatwine,Wheat
Wheat Beer - Witbier,Wheat Beer Witbier,Wheat
Wild Ale,Ale Wild,Ale
Wild/Sour Beers,Sour Wild,Sour
Winter Warmer,Winter Warmer,Winter Warmer
